Year_Année,Region_Région,Question,Response_Réponse,Group_Groupe,Subgroup_Sous_groupe,Percent_Pourcent,F95lcl,F95ucl,Data_quality_Qualité_des_données,Notes_Remarques,Language_Langue,ObjectId
2023,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,15 to 34 years old,Age,37.7,28.6,47.7,,,English,1
2024,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(2) Ni difficile ni facile,15 à 34 ans,Âge,34.7,25.3,45.4,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,2
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,35 to 44 years old,Age,50.4,38,62.9,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,3
2022,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,35 à 44 ans,Âge,33.7,24.6,44.2,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,4
2024,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(2) Neither difficult nor easy,45 to 54 years old,Age,29.4,20.2,40.6,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,5
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(1) Très facile ou facile,45 à 54 ans,Âge,47,36.1,58.2,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,6
2021,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(1) Very easy or easy,55 to 64 years old,Age,63.8,52.8,73.5,E,Please use estimate with caution and refer to the confidence interval to assess its quality.,English,7
2023,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,55 à 64 ans,Âge,29.7,22.1,38.7,,,Français,8
2021,Ottawa-Gatineau- partie ontarienne- Ontario/Québec,Au cours des 12 derniers mois- dans quelle mesure a-t-il été facile ou difficile de subvenir aux besoins financiers de votre ménage en matière de transport- de logement- d’alimentation- d’habillement et d’autres dépenses nécessaires?,(3) Très difficile ou difficile,65 ans et plus,Âge,7.6,3.7,14.9,E,"Utiliser les estimations avec précaution; réfère à l'intervalle de confiance afin d'évaluer la qualité",Français,9
2022,Ottawa-Gatineau- Ontario part- Ontario/Quebec,In the past 12 months- how difficult or easy was it for your household to meet its financial needs in terms of transportation- housing- food- clothing and other necessary expenditures?,(3) Very difficult or difficult,65 years and older,Age,13.1,8.6,19.4,,,English,10
